bird_id,theme,head,eyes,body,tail,wingLeft,wingRight,feet,beak
1,cyberbird,cyberbird,cyberbird,cyberbird,cyberbird,cyberbird,cyberbird,cyberbird,var2
2,rmrkpink,1f916,1f60e,1f916,1f916,1f916,1f916,1f916,1f60e
3,eggplant,1f32a-fe0f,1f60e,1f32a-fe0f,1f32a-fe0f,1f32a-fe0f,1f32a-fe0f,1f32a-fe0f,1f60e
4,oddworldabe,1f30b,1f62c,1f30b,1f30b,1f30b,1f30b,1f30b,1f62c
5,bandicoot,1f525,1f976,1f525,1f525,1f525,1f525,1f525,1f976
6,denim,1f30a,1f60e,1f30a,1f30a,1f30a,1f30a,1f30a,1f60e
7,denim,1f9df,1f9df,1f9df,1f9df,1f9df,1f9df,1f9df,1f9df
8,gumpop,1f9be,1f60d,1f9be,1f9be,1f9be,1f9be,1f9be,1f60d
9,seafoam,1f409,1f60e,1f409,1f409,1f409,1f409,1f409,1f60e
10,seafoam,1f409,1f618,var1,1f409,var1,1f409,var1,1f618
11,duckeggblue,1f916,var4,var1,1f916,var1,1f916,var1,1f9db-200d-2642-fe0f
12,red,1f9be,1f60e,var0,1f9de-200d-2642-fe0f,1f9be,1f9be,var0,1f60e
13,rmrkpink,var2,1f60d,var2,2694-fe0f,2694-fe0f,2694-fe0f,var2,1f60d
14,blue,1f30a,var3,var0,var0,1f30a,1f30a,var0,1f9db-200d-2642-fe0f
15,bandicoot,1f525,1f92f,1f525,1f525,1f525,1f525,1f525,1f92f
16,electrik,1f916,var3,var0,1f916,1f916,var0,var0,1f54a-fe0f
17,eggplant,1f30b,1f92f,1f30b,1f30b,1f30b,1f30b,1f30b,1f92f
18,retrosteel,1f48e,1f60d,1f48e,1f48e,1f48e,1f48e,1f48e,1f60d
19,chilipepper,var1,1f618,var1,1f525,1f525,1f525,var1,1f618
20,bandicoot,1f98b,1f60d,var0,1f98b,var0,1f98b,var0,1f60d
21,ocean,1f48e,1f92f,var1,var1,1f48e,1f48e,var1,1f92f
22,chilipepper,2600,1f618,2600,2600,2600,2600,2600,1f618
23,blue,1f48e,1f60f,var3,1f48e,1f48e,var3,var3,1f60f
24,duckeggblue,1f916,1f609,var1,1f308_tail,1f916,1f916,var1,1f609
25,seafoam,1f9df,1f9df,var0,1f9df,var0,1f9df,var0,1f9df
26,hymn,1f32a-fe0f,1f976,var2,1f419_tail,1f32a-fe0f,1f32a-fe0f,var2,1f976
27,mint,1f30b,1f609,var1,1f30b,var1,1f30b,var1,1f609
28,ocean,1f30a,1f32b,var4,var4,1f30a,1f30a,var4,var3
29,duckeggblue,1f916,1f60d,1f916,1f916,1f916,1f916,1f916,1f60d
30,rmrkpink,1f916,1f60d,1f916,1f916,1f916,1f916,1f916,1f60d
31,nightwing,1f916,1f60d,var0,1f916,1f916,var0,var0,1f60d
32,bandicoot,var1,263a-fe0f,var1,1f9dc,1f98b,1f98b,var1,263a-fe0f
33,eggplant,var1,1f60e,var1,1f48e,1f48e,1f48e,var1,1f60e
34,nightwing,var2,1f60e,var2,1f916,1f916,1f916,var2,1f60e
35,duckeggblue,1f916,1f60d,1f916,1f916,1f916,1f916,1f916,1f60d
36,icicle,goldtrim,1f60d,goldtrim,goldtrim,goldtrim,goldtrim,goldtrim,1f60d
37,seafoam,1f409,263a-fe0f,var0,1f409,1f409,var0,var0,263a-fe0f
38,rmrkpink,1f409,1f62c,1f409,1f409,1f409,1f409,1f409,1f62c
39,bandicoot,1f98b,1f970,var0,1f98b,1f98b,var0,var0,1f970
40,denim,1f48e,1f609,var1,1f48e,1f48e,1f48e,var1,1f609
41,bandicoot,1f525,1f60d,var3,1f525,1f525,1f525,var3,1f60d
42,hymn,1f48e,1f60d,var4,1f9de-200d-2642-fe0f,var4,1f48e,var4,1f60d
43,duckeggblue,1f916,1f60d,1f916,1f916,1f916,1f916,1f916,1f60d
44,blue,1f48e,1f47f,var3,1f48e,1f48e,var3,var3,1f47f
45,retrosteel,var0,1f60d,var0,1f48e,1f48e,1f48e,var0,1f60d
46,pumpkin,var1,1f32b,var1,1f9be,1f9be,1f9be,var1,var0
47,lola,var2,1f92f,var2,1f525,1f525,1f525,var2,1f92f
48,seafoam,1f409,1f60d,var4,1f409,1f409,var4,var4,1f60d
49,nightwing,1f916,1f60d,var0,var0,1f916,1f916,var0,1f60d
50,nightwing,1f916,1f976,1f916,1f916,1f916,1f916,1f916,1f976
51,icicle,1f916,1f609,var1,1f916,1f916,var1,var1,1f609
52,hymn,1f9be,1f618,var2,1f419_tail,1f9be,1f9be,var2,1f618
53,pumpkin,1f525,1f62c,var3,1f525,var3,1f525,var3,1f62c
54,pumpkin,1f525,1f60d,var3,1f525,1f525,1f525,var3,1f60d
55,blue,1f30a,1f47f,var4,1f30a,1f30a,var4,var4,1f47f
56,nightwing,1f916,1f618,var3,1f916,1f916,var3,var3,1f618
57,seafoam,1f409,1f970,var3,var3,1f409,1f409,var3,1f970
